proteinId,pValue,fdr,log10fdr,meanGroup1,meanGroup2,logFoldChange
RNF215,3.74E-05,0.002731157,2.563653339,6020.157143,4028.430556,0.401736503
ROBO1,0.004185426,0.043558603,1.360926053,6193.428571,7860.138889,-0.238315455
ROBO2,7.80E-06,0.001800678,2.744563925,1515.771429,1975.777778,-0.265037629
RPIA,0.000269293,0.009798523,2.008839389,1993.857143,1641.611111,0.194392881
RPL12,0.000347402,0.011169106,1.951981577,49885.37143,34679.30556,0.363584675
RPN1,0.001670057,0.027811659,1.555773104,7095.328571,5764.138889,0.207780846
RRBP1,4.07E-06,0.001237019,2.907623541,3608.514286,2105.805556,0.538598052
RTP4,1.80E-05,0.002532017,2.596533438,3004.685714,1739.111111,0.546798848
S100A11,0.003119849,0.037787583,1.422650884,4863.4,5437.083333,-0.111504983
SAA1,6.08E-05,0.003998811,2.398069171,165340.5714,56225.58333,1.078635543
SAA2,0.000404797,0.01200367,1.920685935,29800.8,9633.25,1.129314583
SCGB3A1,0.005623396,0.049426502,1.306040127,8789.314286,14994.27778,-0.534131949
SCN2B,0.000510002,0.014043138,1.852535841,1039.4,1478.277778,-0.352234123
SELL,0.004891668,0.046995311,1.327945468,6803.2,7649.722222,-0.117276247
SEMA3G,0.001866628,0.030067566,1.52190173,2141.628571,2743.861111,-0.247799539
SERPINA7,0.002910499,0.036413309,1.438739851,63152.65714,73864.02778,-0.156671016
SERPINE1,0.001093672,0.0218611,1.660327992,19532.28571,12580.72222,0.439903114
SERPINH1,0.00412303,0.043558603,1.360926053,10461.34286,6866.5,0.421032316
SET,0.002041557,0.031301668,1.504432517,12949.45714,14691.19444,-0.126194429
SEZ6L,0.001169766,0.022853198,1.641053011,3269.685714,4167.055556,-0.242515816
SFRP4,0.003825782,0.042310593,1.373550885,4685.685714,6725.444444,-0.361385743
SHANK3,0.001061314,0.021507449,1.667411093,2831.942857,2060.694444,0.317919963
SHBG,0.000650115,0.015948373,1.797283608,5729.257143,9481.111111,-0.503715636
SLPI,0.005020242,0.047261932,1.325488528,4354.571429,3615.194444,0.186080554
SMEK1,0.000185246,0.008194779,2.086462754,43886.22857,31276.41667,0.338736218
SMTN,0.004607518,0.045211925,1.344747,3279.342857,2267.277778,0.369063159
SOCS3,7.47E-05,0.004800648,2.318700107,2141.2,1838.833333,0.152235107
SOD2,0.001519754,0.026458202,1.577439673,27471.85714,33924.77778,-0.210983551
SORD,0.002224823,0.032776303,1.484440028,84578.97143,47851.19444,0.569589591
SOST,0.001431822,0.025758262,1.589083446,3016.171429,2683.916667,0.116711118
SPTLC1,0.00059336,0.015249232,1.816752039,6538.371429,5289.194444,0.212022162
