"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"SULT1C2",0.87016883872998,0.590867280329141,0.228510058701904,1437.2380952381,1430.47619047619,0.00471589330042477
"SULT1E1",0.985479169613776,0.618389374896279,0.208737981029508,1581.80952380952,1570.90476190476,0.00691772511156454
"SULT2A1",0.0275040071372224,0.234652713756533,0.629574418810649,638.333333333333,201.47619047619,1.15318939994999
"SULT2B1",0.7893693109047,0.572554588398037,0.242183100586586,4183.33333333333,4192.14285714286,-0.00210364804530137
"SULT4A1",0.18875121955583,0.375131394995884,0.425816587934298,2349,2038.04761904762,0.141997405571383
"SUMF1",0.948671810754233,0.60932598269639,0.215150302425217,2123.57142857143,2052.85714285714,0.0338667563591274
"SUMF2",0.000545135317507533,0.0723627489803677,1.1404849431344,9648.66666666667,6623.71428571429,0.376163453589915
"SUMO2",0.124901999569354,0.347857697854111,0.458598381558676,10208.6666666667,8755,0.153612066987091
"SUMO3",0.338472031292274,0.438300591014618,0.358227943732958,54240.8095238095,49161.6666666667,0.0983193813445293
"SUN3",0.158223485610728,0.367957073145637,0.434202844324846,2030.42857142857,1878,0.0780395089154903
"SUN5",0.705120788684765,0.548045880999134,0.261183081970642,593.52380952381,634.714285714286,-0.0670976234934886
"SUOX",0.0902470701966107,0.32633030817773,0.486342588905723,1622.61904761905,1451.90476190476,0.111165216582433
"SURF1",0.637371726439019,0.530853828084556,0.275025046518154,9365.95238095238,10265.1428571429,-0.0916729407875991
"SUSD1",0.226919181350551,0.394972501637528,0.403433139317321,389,450.809523809524,-0.147465564787022
"SUSD3",0.818288549126053,0.57863436724011,0.237595775562753,620.333333333333,577.52380952381,0.0715072978154112
"SUV420H2",0.557675362628197,0.506081090686728,0.295779889452386,1720.28571428571,1891.33333333333,-0.0947916577316071
"SV2A",0.953882386821455,0.610444342291316,0.21435392703059,1234.57142857143,1252.61904761905,-0.0145127090049194
"SVEP1",0.807816801242671,0.576236787878512,0.239399019115939,3254.7380952381,3370.78571428571,-0.0350340566979699
"SVIP",0.126766416745772,0.348290116961279,0.458058848855221,1672.28571428571,1786.09523809524,-0.0658404240202399
"SWAP70",0.0655491477034392,0.305990484485071,0.514292078746789,4240.09523809524,3233.28571428571,0.271086861614243
"SYF2",0.765611329943753,0.566632479799269,0.246698535016233,9795.95238095238,9467.09523809524,0.0341471509034042
"SYK",0.383883618627591,0.453596985798131,0.343329840040168,8083.07142857143,7309.54761904762,0.100590540973857
"SYN3",0.313140263257658,0.42671102645673,0.369866134578137,286.428571428571,310.428571428571,-0.0804646405157601
"SYNCRIP",0.606286097869646,0.51981943250582,0.284147489220734,11249.4761904762,12532.7619047619,-0.108024601263315
"SYNE2",0.459894735845337,0.472605248480129,0.325501459653921,16222.6666666667,14108.4761904762,0.139633676229482
"SYNGR3",0.734848574587809,0.55724876139732,0.253950888157562,675.47619047619,634.47619047619,0.0626181479293815
"SYNJ2BP",0.23445814036959,0.397824001566845,0.400309018512769,1301.2380952381,1206.52380952381,0.0755728519293355
"SYT11",0.0801110898686581,0.31443903493185,0.502463545319665,845.809523809524,785.428571428571,0.0740646654251488
"SYT17",0.591015197664787,0.514473136151688,0.28863729753066,1051.19047619048,1028.61904761905,0.0217061365752484
"SYT2",0.251305842685008,0.40658261112873,0.390851199363321,1238.2380952381,1604.42857142857,-0.259078184668435
"SYT4",0.046854904818264,0.278163503133697,0.555699852875366,4505,3390.57142857143,0.284189420872667
"SYT5",0.270852043718825,0.412786491449866,0.384274523553266,3016.66666666667,11493.1904761905,-1.33760225844062
"SYT7",0.24090159185948,0.401648765453554,0.396153563587998,524.238095238095,555.761904761905,-0.0583940123419507
"SYT8",0.737274627503048,0.558294631808622,0.253136548017566,533.714285714286,484,0.0977757435767882
"SYT9",0.854201776051087,0.587365132903775,0.23109183758327,727,709.714285714286,0.024064002975518
"SYTL1",0.425917277813498,0.465001200840331,0.3325459255667,941.952380952381,1033.57142857143,-0.0928207677176182
"SYTL4",0.460757242349939,0.472605248480129,0.325501459653921,111773.952380952,107248.166666667,0.0413330858608725
"TAC1",0.325631484109657,0.433301278204683,0.36321002982918,446.428571428571,419.666666666667,0.061818667738951
"TAC4",0.0258118352570335,0.230925392707481,0.636528309151256,1246.42857142857,1905.2380952381,-0.424324666112543
"TACO1",0.0982248731826112,0.331044346696305,0.480113824244113,9592.71428571429,7265.95238095238,0.277804501673951
"TACSTD2",0.376295022558493,0.452440421069128,0.344438602104043,746,711.333333333333,0.0475844570101718
"TAF10",0.0222875632202158,0.230925392707481,0.636528309151256,3885.71428571429,4779,-0.206924495349383
"TAF15",0.022511821400125,0.230925392707481,0.636528309151256,9008.7619047619,7054.66666666667,0.244508312348428
"TAGLN",0.694562107439282,0.546028499792216,0.262784688834687,8198.2380952381,9493.61904761905,-0.146700628982237
"TAGLN2",0.159853825962409,0.36930393646427,0.432616063116421,20458.7619047619,16366.2857142857,0.223187775980175
"TAGLN3",0.735099150515512,0.55724876139732,0.253950888157562,4074.52380952381,4195.66666666667,-0.0292983633352662
"TALDO1",0.493122521359078,0.485252911785442,0.314031849925059,35279.3333333333,32528.5714285714,0.0811785104982021
"TANK",0.149930196776271,0.364112170370137,0.438764804624808,3507.95238095238,2806.38095238095,0.223136764037638
"TAPBP",0.355628886217747,0.444908805167579,0.351728999066856,15960.380952381,13010.7619047619,0.204332607113793
"TAPBPL",0.376444952889655,0.452440421069128,0.344438602104043,5962.80952380952,6653.57142857143,-0.109612000815222
"TARBP2",0.0283063583692824,0.235031660375885,0.628873631343602,1298.42857142857,1121.90476190476,0.146126821021357
"TARDBP",0.0664291638283741,0.305990484485071,0.514292078746789,832.142857142857,1209.38095238095,-0.373859768692833
"TARS",0.163404314851893,0.369345398825724,0.432567306896264,46617.2857142857,39238.4761904762,0.172313609549098
"TAX1BP1",0.77293828822246,0.568733830802229,0.245090937223954,1470.47619047619,1498.95238095238,-0.0191801639728338
"TAX1BP3",0.0850612140289417,0.321810851213699,0.49239931591512,26286.2857142857,20050.4285714286,0.270796818790088
"TBC1D5",0.293970058664489,0.41748696945659,0.379357075105921,4593.19047619048,4086.04761904762,0.116996724935063
"TBCA",0.00322625909757136,0.113041453653307,0.946762266326249,8448.28571428571,6319.95238095238,0.290251873267384
"TBCB",0.657071979460753,0.536442804517279,0.270476575667631,148846.333333333,147785.571428571,0.00715207237937703
"TBCE",0.0864114451833579,0.323173818007739,0.490563830927622,33284.2380952381,25598.2380952381,0.262560429744591
"TBK1",0.936048771389435,0.605929682387233,0.217577772406524,715.666666666667,755.714285714286,-0.0544488665863604
"TBL2",0.126038219351365,0.348092624429458,0.458305178679291,14253.9047619048,10767.6666666667,0.280483071053306
"TBP",0.99262169393324,0.619656157612149,0.207849230299709,720.904761904762,709.095238095238,0.0165171920216738
"TBPL1",0.0383105169219048,0.265324763694581,0.576222213892515,1265.66666666667,1047.80952380952,0.188897175291767
"TBX22",0.79136461710294,0.572684196742601,0.242084801105599,1025.42857142857,1034.90476190476,-0.00919876133004006
"TBX3",0.588676661525259,0.513395130736288,0.289548254683643,333.52380952381,346.714285714286,-0.0387868009889687
"TBX5",0.876955751597867,0.592252677027821,0.227492967556176,1158.2380952381,1148.90476190476,0.00809085941017937
"TBXAS1",0.182513037970912,0.372974730128036,0.428320591616835,2827.71428571429,1451.61904761905,0.666789194338738
"TCEA1",0.149173167742225,0.364112170370137,0.438764804624808,13760.4761904762,10640.380952381,0.257144151704636
"TCEA2",0.487356498874603,0.482990975984983,0.316060983361402,2185.7619047619,2124.95238095238,0.0282150724364188
"TCEAL3",0.564506871126039,0.50809669723051,0.294053628115145,3433.33333333333,3333.57142857143,0.0294873762210148
"TCEAL8",0.659538045149187,0.537276175953244,0.269802416608742,759.428571428571,605.428571428571,0.226629681004892
