"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"PSMB1",0.221139908797062,0.339775304686807,0.468808189410452,5601.58823529412,5203.90740740741,0.0736404030650275
"PSMB2",0.41964961038967,0.43408106611901,0.362429156938002,1934.94117647059,2439.96296296296,-0.231905933813506
"PSMB3",0.407044137632266,0.429039940671998,0.367502276099588,3097.41176470588,3679.59259259259,-0.172235189372808
"PSMB4",0.668031920174924,0.528614078327308,0.276861274691924,5221.23529411765,7102.01851851852,-0.307645021744132
"PSMB5",0.0799519840837249,0.268439055462251,0.571154297974707,1313.64705882353,1993.72222222222,-0.417196071634337
"PSMB6",0.0545226364181302,0.245456866536008,0.610024814218069,525.411764705882,617.888888888889,-0.162126380947512
"PSMB9",0.0123387268143665,0.15708872791106,0.80385497716028,2280.64705882353,1837.7962962963,0.215892011642429
"PSMD10",0.0370364852463409,0.221203109365704,0.655208772616541,2744.58823529412,2500.11111111111,0.0932958830212564
"PSMD11",0.0274831297273768,0.201681513590534,0.695333908002227,16359.1176470588,13266.3518518519,0.209554502585456
"PSMD4",0.661864221537098,0.527787847451038,0.277540613823655,1956.35294117647,2020.74074074074,-0.032382151921371
"PSMD5",0.332356759140454,0.393821458218268,0.404700624074253,1013.88235294118,1132.98148148148,-0.111065761538379
"PSMD7",0.246650521193004,0.351340946893248,0.454271232577769,950.823529411765,1072.72222222222,-0.120626347404226
"PSMD9",0.00149116977905282,0.0651478404937006,1.18609997561085,13435.4705882353,7277.03703703704,0.613174489536067
"PSME1",0.117376575842854,0.295164290068699,0.529936186023174,2655.11764705882,2267.42592592593,0.157843730476906
"PSME2",0.607849611317189,0.507102309512005,0.294904411526598,4663.05882352941,4460.44444444444,0.0444232204125351
"PSME3",0.249224040620262,0.352695937762187,0.452599542367175,596.882352941176,638.185185185185,-0.0669084699159037
"PSMG3",0.367813480619779,0.410601750975516,0.386579202950368,3040.58823529412,2807.07407407407,0.0799083090663509
"PSPN",0.107607795390737,0.290562988527794,0.536759706286572,504.470588235294,597.018518518518,-0.168438592951147
"PSTPIP1",0.939022065131103,0.603810371958545,0.219099431151155,1718.94117647059,1759.2962962963,-0.0232053912525652
"PTCHD3",0.90881279822261,0.595806684247793,0.224894628822136,523.352941176471,536.351851851852,-0.0245343095418542
"PTEN",0.269597745358399,0.363481468890142,0.439517725558459,2939.58823529412,2608.81481481481,0.119373491257378
"PTGDS",0.777521474271293,0.559983943406576,0.251824425475755,20333.8235294118,19011.2962962963,0.0672523388117137
"PTGES2",0.235489500563093,0.346335035423458,0.460503572783662,6362.47058823529,5719.33333333333,0.106564510709076
"PTGES3",0.678406223072609,0.532361736845605,0.273793166709731,5697.82352941176,5962.92592592593,-0.0454770228038091
"PTGFRN",0.461923813258549,0.449442907700262,0.347325468436877,6795.82352941176,5729.35185185185,0.170705827172222
"PTGR1",0.0211431119195835,0.187513295476929,0.726967933549308,73868.4705882353,58087.6851851852,0.240332404783204
"PTGR2",0.00833969086085719,0.134077033413078,0.872645607802281,5733.35294117647,4080.61111111111,0.340053755783167
