"proteinId","coefficient","pValue","fdr"
"LDLR",-135.236647826889,0.750103288633258,0.456317033653211
"LDLRAD4",389.907333707802,0.234111428158676,0.250049739376812
"LDLRAP1",398.593545849512,0.0361000437305588,0.105116202790819
"LDOC1",-113.445365743471,0.842231193478067,0.481693717898431
"LEAP2",317.610851513105,0.115873128884887,0.174106782758817
"LECT1",575.666480152809,0.433455020326865,0.343030584285164
"LECT2",-258.112860976372,0.359388119050976,0.311409651162381
"LEFTY2",-436.695965886122,0.256310646394565,0.259703104778838
"LEG1",-257.268834923886,0.353451577888373,0.308752089690319
"LEMD1",607.68054215715,0.0776981475763689,0.143173027161322
"LEP",51.1710338596521,0.729421289337653,0.44912242704291
"LEPR",-102.48053797621,0.663091709219053,0.428004213753184
"LEPRE1",471.37282338742,0.513058208876977,0.376237156977221
"LETMD1",-1197.23238011785,0.0219283766008441,0.0859992223115874
"LGALS1",-281.494310022034,0.360880288074195,0.311928348613952
"LGALS13",206.377464172626,0.809232764324561,0.474218980142248
"LGALS2",-271.198517151776,0.637527890446912,0.420497012517864
"LGALS3",269.665432328812,0.690477283563444,0.436682816279004
"LGALS3BP",-83.5418252889469,0.750826652817577,0.45648850319503
"LGALS4",1019.00849801547,0.1551994665832,0.199312742507143
"LGALS7",567.525262277188,0.161296409656147,0.203153723535664
"LGALS8",93.3696467143456,0.894986910533161,0.497159257445294
"LGALS9",817.940471697035,0.195764048037524,0.227715720937348
"LGI3",397.049495621779,0.573365002252579,0.398333771845789
"LGMN",530.178226038804,0.447050639010824,0.349363724474517
"LGR4",-403.981186877721,0.337068085172119,0.300502069319817
"LGR5",-1026.51753605297,0.0636281519001568,0.131568769952247
"LHB",103.688328481816,0.846966524277142,0.482728546367558
"LHCGR",-1135.26209181286,0.125027833325354,0.178745942687576
"LIF",-362.882352565613,0.490962358419975,0.367218651556223
"LIFR",-439.764009601654,0.27754308702153,0.270730074432679
"LILRA2",654.342685919327,0.0299282013482534,0.0953204652869255
"LILRA3",302.361156440293,0.16885201650801,0.20932448513746
"LILRA4",-1270.67797552583,0.00852189921121876,0.0587446743027537
"LILRA5",85.0908164046541,0.823297261190413,0.477779802619003
"LILRA6",-146.829982300288,0.537150858062015,0.385790690559304
"LILRB1",-373.194202233249,0.0173025586025151,0.0798862609339457
"LILRB2",837.968519628246,0.0934089962035263,0.157466873575674
"LILRB3",-200.912486120266,0.283813767410355,0.273426232941776
"LILRB4",-345.761860958005,0.545061435762113,0.388950685293909
"LILRB5",-276.552932905284,0.453958987107649,0.351618981178994
"LIMA1",-7.77496189664211,0.99072093701797,0.519881184843166
"LIN7A",303.75406995531,0.469237743793203,0.358073799577247
"LIN7B",821.983432930998,0.021457292492754,0.0859992223115874
"LIN7C",-327.294623787685,0.354091063649048,0.309037407370777
"LINGO1",-470.456106196125,0.289398761946488,0.276522056536884
"LINGO3",-1608.94800086313,0.0718201937266936,0.138530841159992
